OBJECTID,state,FIPS,county,latitude,longitude,USFS_Acre_A1,Other_Acre_A1,USFS_BDT_A1,Other_BDT_A1,Total_BDT_A1,TotalBDT_A1_Yr,USFS_Acre_A2,Other_Acre_A2,USFS_BDT_A2,Other_BDT_A2,Total_BDT_A2,TotalBDT_A2_Yr,USFS_Acre_A3,Other_Acre_A3,USFS_BDT_A3,Other_BDT_A3,Total_BDT_A3,TotalBDT_A3_Yr,USFS_Acre_A4,Other_Acre_A4,USFS_BDT_A4,Other_BDT_A4,Total_BDT_A4,TotalBDT_A4_Yr,USFS_Acre_A5,Other_Acre_A5,USFS_BDT_A5,Other_BDT_A5,Total_BDT_A5,TotalBDT_A5_Yr,USFS_Acre_A6,Other_Acre_A6,USFS_BDT_A6,Other_BDT_A6,Total_BDT_A6,TotalBDT_A6_Yr,Total_Acreage,Total_BDT
194,CA,6015,Del Norte,41.749903,-123.980998,8450.1,3296.5,327554.5,205057.4,532611.9,53261.2,6055.7,2362.4,234740.1,146953.2,381693.4,38169.3,20143.6,7858.2,780837.9,488824.2,1269662.2,126966.2,29280.6,11422.7,1135018.7,710550.3,1845569,184556.9,20983.8,8186,813404.8,509211.9,1322616.8,132261.7,69800.2,27229.8,2705704.1,1693839,4399543.1,439954.3,215069.5,9751696.3
2973,WA,53037,Kittitas,47.124444,-120.676714,47757.3,35865,1177831.3,569899.5,1747730.8,174773.1,28953,21743.2,714063,345502.9,1059565.9,105956.6,49813.3,37409,1228536.6,594433.6,1822970.2,182297,52889.3,39719.1,1304401.3,631141.1,1935542.4,193554.2,32064.3,24079.8,790796.3,382630.8,1173427.1,117342.7,55166.2,41429,1360555.4,658311.5,2018867,201886.7,466888.35,9758103.3
1817,NM,35039,Rio Arriba,36.509669,-106.693983,131397.5,142961.9,1141565.2,848936.6,1990501.8,199050.2,105938.5,115262.2,920380.7,684450.5,1604831.2,160483.1,186538.1,202955.5,1620620.7,1205191.1,2825811.8,282581.2,72759.6,79163.3,632126.9,470087.6,1102214.6,110221.5,58662.1,63825,509648.9,379005.6,888654.5,88865.4,103293.1,112384,897397.7,667359,1564756.7,156475.7,1375140.64,9976770.58
215,CA,6057,Nevada,39.295191,-120.773446,51118.7,93618.2,1528762.7,2321511.3,3850274,385027.4,35481.4,64980.1,1061110,1611354.7,2672464.7,267246.5,17209.3,31516.9,514664,781546,1296210,129621,17110.9,31336.8,511722,777078.4,1288800.4,128880,11876.7,21750.8,355184.8,539368,894552.8,89455.3,5760.5,10549.6,172273.2,261606.5,433879.7,43388,392309.79,10436181.65
2241,OR,41065,Wasco,45.164536,-121.165069,48304.2,116658,1474060.9,2104470.4,3578531.3,357853.1,22771.9,54995.7,694911.8,992103.7,1687015.5,168701.6,40626.9,98116.7,1239776.9,1769990.5,3009767.4,300976.7,13152.4,31764,401362.3,573012.4,974374.7,97437.5,6200.4,14974.4,189213,270133.4,459346.3,45934.6,11062,26715.5,337570.7,481939,819509.7,81951,485342.3,10528544.84
97,AZ,4001,Apache,35.385845,-109.493747,48792.6,279497.7,458798.3,2186032.4,2644830.8,264483.1,23705.4,135791.1,222902.5,1062061.5,1284964,128496.4,75840.5,434435.8,713130.9,3397848.5,4110979.3,411097.9,15347.2,87913.3,144310.6,687595.5,831906.1,83190.6,7456.3,42711.8,70111.8,334061.2,404173.1,40417.3,23854.9,136647.6,224308.5,1068760.6,1293069,129306.9,1311994.16,10569922.33
1630,MT,30063,Missoula,47.027263,-113.892681,106047.1,92615.5,1362397.7,913269.6,2275667.3,227566.7,46818.1,40888.3,601477.6,403194.5,1004672,100467.2,95345.1,83269,1224908.8,821105.3,2046014.1,204601.4,109953.5,96027.2,1412584.4,946911.7,2359496.1,235949.6,48542.8,42394.5,623634.2,418046.9,1041681.1,104168.1,98857.4,86336.4,1270030.8,851352.4,2121383.2,212138.3,947094.92,10848913.87
1643,MT,30089,Sanders,47.756469,-115.180225,42596.2,24951.6,762102.2,222365.7,984468,98446.8,58714.7,34393.3,1050483.3,306509.4,1356992.7,135699.3,109287.2,64017.1,1955291.5,570513.8,2525805.3,252580.5,53804.2,31516.9,962627.9,280875,1243502.9,124350.3,74163.8,43442.9,1326888.3,387158.7,1714047,171404.7,138043,80861.4,2469771.2,720628.4,3190399.6,319040,755792.46,11015215.5
2978,WA,53047,Okanogan,48.550971,-119.691035,136863,79502.3,1568805.9,823711.4,2392517.4,239251.7,62305.7,36192.7,714185.1,374987.4,1089172.5,108917.2,155852.9,90533.2,1786478.7,938001.9,2724480.5,272448.1,110378.9,64117.9,1265229.1,664316.5,1929545.6,192954.6,50249,29189.1,575984.4,302424.2,878408.6,87840.9,125694.1,73014.3,1440780.3,756490.8,2197271.1,219727.1,1013893.19,11211395.66
204,CA,6035,Lassen,40.721089,-120.629931,131211.1,178428.8,2096819.6,1659342.3,3756161.8,375616.2,66077.1,89855.7,1055945.8,835634.9,1891580.6,189158.1,117843.5,160250.8,1883198.9,1490291.1,3373490.1,337349,35926.3,48854.7,574119.9,454336.4,1028456.3,102845.6,18092.3,24602.9,289123.3,228801.1,517924.4,51792.4,32266.2,43877.5,515629.5,408049.3,923678.8,92367.9,947286.85,11491292.01
190,CA,6007,Butte,39.665959,-121.601919,14647.5,31448.6,750181.7,828998.2,1579179.9,157918,9593.1,20596.7,491319.4,542939,1034258.4,103425.8,27897.2,59896.1,1428774.9,1578886.6,3007661.5,300766.2,17824.9,38270.6,912915.7,1008829.6,1921745.3,192174.5,11674.2,25064.7,597899.4,660716.7,1258616.2,125861.6,33948.9,72889.1,1738713.6,1921388.5,3660102,366010.2,363751.54,12461563.29
