STATE_NAME,Percent Removal,facility index,feedstock cost,transportation cost,capital cost,operating cost,production cost,access_,CO2_transp cost,CO2_inject cost,total_D:K,revenue,net cost,uptake,land_use_c,soil,grow_harve,transport,conversion,captured,CO2_tran_1,bio_use,total_bio1,conv_use,CDR million tons CO2,Cost $/tCO2,product_units,scale_factor , Plant type ,index_,facility index,latitude,longitude,Barley_str,Citrus_res,Corn_stove,Cotton_gin,Cotton_res,Noncitrus_,Oats_straw,Rice_hulls,Rice_straw,Sorghum_st,Sugarcane_,Sugarcane1,Tree_nut_r,Wheat_stra,Hardwood_l,Hardwood_1,Hardwood_u,Hardwood_2,Mixedwood_,Mixedwood1,Other_fore,Other_fo_1,PNW_Forest,PNW_Fore_1,PNW_Fore_2,PNW_Fore_3,PNW_Fore_4,PNW_Fore_5,PNW_forest_sum,Primary_mi,Secondary_,Softwood_n,Softwood_1,Softwood_p,Softwood_2,Softwood_sum,Constructi,Municipal_,Other_muni,Paper_and_,Switchgras,total_softwood
Montana,50,55884,49482468.87,35071296.97,189511909.1,65321126.12,36313507.06,0,0,19930989.79,395631297.9,273889540.3,121741757.6,0,0,0,91684.70711,18860.42129,0,2491373.724,0,0,-2380828.595,0,2380828.595,51.1342,480997254,5, BiCRS 2050 gasification H2 ,108,55884,47.15089639,-104.2321321,22778,0,28632.47457,0,0,0,0,0,0,0,0,0,0,1151225.886,2082,0,0,0,0,0,0,6463,0,0,0,0,0,0,0,0,983,1448,0,0,0,1448,7809,0,0,8788.098139,583092.6479,1448
New Mexico,99,216918,129098083.1,23129103.26,189511909.1,65321126.12,37174086.94,0,17942215.42,12815868.16,474992392.1,252686823.2,222305569,0,0,0,96240.77747,12244.78604,0,2563173.631,0,0,-2454688.068,0,2454688.068,90.5637,470395895.4,5, BiCRS 2050 gasification H2 ,1031,216918,34.36116633,-104.5109775,0,0,0,16778,27791,54,0,0,0,63413,0,0,142,2658.935148,0,0,0,0,0,0,0,19584,0,0,0,0,0,0,0,0,792,1619,0,0,0,1619,2367,0,0,6142.768495,1671960.403,1619
New Mexico,75,216918,114506074.1,26877689.36,189511909.1,65321126.12,37236205.78,0,17978920.7,12842086.22,464274011.4,254356532,209917479.4,0,0,0,91291.10649,14313.45017,0,2568417.243,0,0,-2462812.687,0,2462812.687,85.2349,471230749.8,5, BiCRS 2050 gasification H2 ,467,216918,34.36116633,-104.5109775,0,0,0,49991,66524,3,0,0,0,55513.75312,0,0,26,0,0,0,0,0,0,0,0,35036,0,0,0,0,0,0,0,0,1009,1619,0,0,0,1619,6033,0,0,5240.604906,1592306.748,1619
New Mexico,50,202283,100659664.5,41401125.7,189511909.1,65321126.12,37368676.51,0,9029886.039,12899837.2,456192225.1,273767921.1,182424304.1,0,0,0,90281.05504,22315.5406,0,2579967.44,0,0,-2467370.844,0,2467370.844,73.9347,480936444.3,5, BiCRS 2050 gasification H2 ,233,202283,35.61415325,-103.2317691,0,0,680038.4955,8275,11600,0,0,0,0,40213,0,0,0,419237.8151,295,0,0,0,0,0,0,29182,0,0,0,0,0,0,0,0,81,3810,0,0,0,3810,3466,0,0,3364.602223,613739.1936,3810
California,25,159772,67627086.36,16812201.4,189511909.1,65321126.12,39386112.68,0,0,10998599.69,389657035.4,296912771.6,92744263.83,0,0,0,509.5616164,8536.930059,0,2749649.923,0,0,-2740603.432,0,2740603.432,33.8408,492508869.6,5, BiCRS 2050 gasification H2 ,12,159772,36.7896467,-119.44856,0,0,0,41015,283181,717666.1255,0,0,0,0,0,0,410046,268.4266044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10983,4406,0,0,0,4406,126654,0,0,210531.0247,8551.52967,4406
Arizona,90,212499,85245119.2,52630707.73,189511909.1,65321126.12,37316559.32,0,98857961.93,10300564.78,539183948.2,290246783.3,248937164.9,0,0,0,26931.87021,25503.44742,0,2575141.196,33658.74387,0,-2489047.134,0,2489047.134,100.013,489175875.5,5, BiCRS 2050 gasification H2 ,787,212499,33.86486014,-112.0062013,17972,0,0,1,40,420,0,0,0,0,0,0,176,39071.09577,0,0,0,0,0,0,0,257472,0,0,0,0,0,0,0,570,2963,268,4408,0,0,4676,25436,0,0,1039642.312,424862.6991,4676
Arizona,99,212499,77014045.09,62883425.59,189511909.1,65321126.12,37333074.7,0,98910283.97,10306016.51,541279881.1,290837623.3,250442257.8,0,0,0,24121.91981,28742.63972,0,2576504.127,33676.55826,0,-2489963.01,0,2489963.01,100.5807,489471295.5,5, BiCRS 2050 gasification H2 ,1068,212499,33.86486014,-112.0062013,0,0,0,0,0,420,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,257472,0,0,0,0,0,0,0,570,2963,268,4408,0,0,4676,25436,0,0,1096726.407,424862.6991,4676
Colorado,75,165680,91354073.67,33277192.3,189511909.1,65321126.12,37134576.39,0,0,15359752.91,431958630.5,258653094,173305536.5,0,0,0,94084.75505,17851.59109,0,2559958.818,0,0,-2448022.472,0,2448022.472,70.7941,473379030.8,5, BiCRS 2050 gasification H2 ,375,165680,38.44088924,-104.4064239,0,0,41230.46744,0,0,47,0,0,0,0,0,0,0,281632.1502,0,0,0,0,0,0,0,20268,0,0,0,0,0,0,0,0,6192,356,7137,0,0,7493,62810,0,0,2177.957962,1391451.531,7493
Colorado,90,165680,96769103.02,38784536.26,189511909.1,65321126.12,37139141.26,0,0,15361871.43,442887687.2,257042875.3,185844811.9,0,0,0,95173.2224,20893.74968,0,2560311.906,0,0,-2444244.934,0,2444244.934,76.0336,472573921.5,5, BiCRS 2050 gasification H2 ,663,165680,38.44088924,-104.4064239,0,0,21473.77931,0,0,37,0,0,0,0,0,0,0,234376.6205,0,0,0,0,0,0,0,20268,0,0,0,0,0,0,0,0,0,356,7137,0,0,7493,58827.04701,0,0,442.1223564,1470384.537,7493
Colorado,99,165680,97318857.85,38877503.33,189511909.1,65321126.12,37139377.79,0,0,15362048.74,443530823,257499359.5,186031463.5,0,0,0,94649.6328,20945.55988,0,2560341.456,0,0,-2444746.263,0,2444746.263,76.0944,472802163.5,5, BiCRS 2050 gasification H2 ,962,165680,38.44088924,-104.4064239,0,0,21473.77931,0,0,37,0,0,0,20384,0,0,0,234916.5945,0,0,0,0,0,0,0,20268,0,0,0,0,0,0,0,0,6137,356,7137,0,0,7493,59716,0,0,442.1223564,1442434.61,7493
Montana,75,30989,63164458.65,57677519.64,189511909.1,65321126.12,36760311.36,0,0,20230681.5,432666006.4,273660222.8,159005783.6,0,0,0,87436.48547,28044.64722,0,2528835.187,0,0,-2413354.055,0,2413354.055,65.8858,480882595.2,5, BiCRS 2050 gasification H2 ,331,30989,48.91481141,-106.9089333,15360,0,117261.1942,0,0,770,0,0,0,0,0,0,3,894461.892,973,0,0,0,0,0,0,4330,0,0,0,0,0,0,0,6780,42442,0,12614,0,0,12614,60350,0,0,20946.79614,637010.2241,12614
Montana,90,30989,70594458.96,58128465.48,189511909.1,65321126.12,37336612.24,0,0,20616553.7,441509125.6,277206288.9,164302836.7,0,0,0,64858.55492,28903.29263,0,2577069.212,0,0,-2483307.365,0,2483307.365,66.1629,482655628.3,5, BiCRS 2050 gasification H2 ,589,30989,48.91481141,-106.9089333,6761,0,35213.70649,0,0,3701,0,0,0,0,0,0,3,525045.3097,973,0,0,0,0,0,0,4330,0,0,0,0,0,0,0,6075,77456,0,12614,0,0,12614,237156,0,0,265438.3119,638535.7784,12614
Montana,99,30989,52966077.54,52144850.34,189511909.1,65321126.12,36284033.36,0,0,19911014.44,416139010.9,272638022,143500988.9,0,0,0,93765.88596,24821.98306,0,2488876.805,0,0,-2370288.936,0,2370288.936,60.5416,480371494.8,5, BiCRS 2050 gasification H2 ,887,30989,48.91481141,-106.9089333,6378,0,0,0,0,0,0,0,0,0,0,0,0,1147472.181,973,0,0,0,0,0,0,4330,0,0,0,0,0,0,0,0,27,0,12614,0,0,12614,1462,0,0,1510.146618,638535.7784,12614
California,75,158301,58053001.72,31638863.05,189511909.1,65321126.12,38967576.31,0,21876863.99,10856729.38,416226069.7,297637581,118588488.7,0,0,0,1856.619098,15526.91486,0,2714182.344,10743.46524,0,-2686055.345,0,2686055.345,44.1497,492871274.3,5, BiCRS 2050 gasification H2 ,273,158301,36.47032455,-121.4271854,0,0,0,10100,63017,367558,0,0,0,0,0,0,273954,319.3154965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59499,15552,0,0,0,15552,395947,0,0,595526.729,31784.062,15552
Idaho,90,105633,100263099,76972701.48,117343200.3,40445954.15,142798278.6,0,28074691.55,13915463.8,519813388.9,107655243,412158145.9,0,0,0,34957.43241,36274.64911,0,2786454.691,13978.82556,0,-2701243.784,0,2701243.784,152.5809,1325990169,5, BiCRS 2050 Electricty ,828,105633,42.43286377,-112.1587804,12951,0,0,0,0,0,0,95620,281317,0,0,0,24,160187.914,0,0,0,54775,0,0,0,28064,0,0,0,0,0,0,0,0,27,18803,0,0,0,18803,34240,496309,207734,6876.850063,416373.1977,18803
Idaho,99,90986,19612042.77,6967985.154,38034606.34,13109800.48,24442167.85,0,13444664.37,2384128.681,117995395.6,17838604.44,100156791.2,0,0,0,10087.28885,3605.03027,0,477371.842,6928.687218,0,-456750.8357,0,456750.8357,219.281,219718180.5,1, BiCRS 2050 Electricty ,1222,90986,43.26006897,-114.6169305,1358,0,0,0,0,6947,0,0,0,0,0,0,1,29742.83006,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,45,17826,0,22904,0,0,22904,52347,15024,6032,66057.12289,107698.4262,22904
Washington,90,3129,73514537.71,69628696.31,117343200.3,40445954.15,119840774.6,0,25998371.82,9346658.17,456118193.1,87457143.27,368661049.8,0,0,0,61131.11924,29914.95582,0,2339234.001,13010.87417,0,-2235177.051,0,2235177.051,164.9359,1077210073,5, BiCRS 2050 Electricty ,840,3129,48.98489547,-122.5016617,8455,0,0,0,0,5231,3815,0,0,0,0,0,4126,245386.0024,10716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,65211,4694,41538,4608,0,50840,182559,4290,24776,238045.0149,785656.8786,50840
Washington,99,3129,76179341.04,58830509.96,117343200.3,40445954.15,123369623,0,26706846.13,9601361.319,452476835.9,89863031.57,362613804.3,0,0,0,40137.95429,23319.48531,0,2410467.588,13365.42984,0,-2333644.719,0,2333644.719,155.3852,1106843411,5, BiCRS 2050 Electricty ,1161,3129,48.98489547,-122.5016617,4183,0,0,0,0,24277,6028,0,0,0,0,0,22071,18890.8945,16094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215,82185,8311,49954,4608,0,62873,346117,75396,42260,334492.4779,592889.9453,62873
New Mexico,75,206672,127410660.6,18700324.93,189511909.1,65321126.12,37228368.86,0,8986994.825,12838564.04,459997948.5,253916897.6,206081050.9,0,0,0,100407.4576,9778.847307,0,2567712.807,0,0,-2457526.502,0,2457526.502,83.8571,471010932.6,5, BiCRS 2050 gasification H2 ,457,206672,35.20976423,-104.0416501,0,0,0,20,89,39,0,0,0,1320,0,0,2,53058.24016,0,0,0,0,0,0,0,46834,0,0,0,0,0,0,0,0,55,7427,57088,0,0,64515,2806,0,0,2825.703126,1641738.163,64515
New Mexico,90,206672,131263564.5,19237257.31,189511909.1,65321126.12,37201675.82,0,8979271.494,12827530.71,464342335.1,255643700.4,208698634.7,0,0,0,98916.02594,10073.59214,0,2565506.141,0,0,-2456516.523,0,2456516.523,84.9571,471874334,5, BiCRS 2050 gasification H2 ,717,206672,35.20976423,-104.0416501,0,0,0,25,611,42,0,0,0,24286.92705,0,0,0,107282.049,0,0,0,0,0,0,0,62286,0,0,0,0,0,0,0,0,55,7427,57088,0,0,64515,6841,0,0,815.3829155,1546542.748,64515
New Mexico,99,206672,136172856.9,16232570.61,189511909.1,65321126.12,37298104.89,0,9007418.803,12867741.15,466411727.6,253365399.3,213046328.3,0,0,0,99664.11242,8411.661799,0,2573548.229,0,0,-2465472.455,0,2465472.455,86.412,470735183.5,5, BiCRS 2050 gasification H2 ,1009,206672,35.20976423,-104.0416501,0,0,0,30,142,42,0,0,0,1320,0,0,2,0,0,0,0,0,0,0,0,62286,0,0,0,0,0,0,0,0,55,7427,57088,0,0,64515,6841,0,0,2698.567958,1675370.539,64515
New Mexico,50,206672,124720317.8,21549500.05,189511909.1,65321126.12,37316400.25,0,9013101.556,12875859.37,460308214.2,258350679.5,201957534.7,0,0,0,94681.89274,10933.74345,0,2575171.873,0,0,-2469556.237,0,2469556.237,81.7789,473227823.6,5, BiCRS 2050 gasification H2 ,255,206672,35.20976423,-104.0416501,0,0,59679.29739,7659,10217,265,0,0,0,13954,0,0,4,105496.9983,122,0,106,0,0,0,0,94908,0,0,0,0,0,0,0,0,1176,16277,57088,0,0,73365,10544,0,0,8302.511401,1427503.299,73365
New Mexico,50,216918,101074279.4,38568497.78,189511909.1,65321126.12,37637919.31,0,18215747.74,13011248.39,463340727.8,268661167.7,194679560.1,0,0,0,62697.37573,17084.02002,0,2602249.678,0,0,-2522468.282,0,2522468.282,77.1782,478383067.7,5, BiCRS 2050 gasification H2 ,244,216918,34.36116633,-104.5109775,0,0,79283.21357,81067,124203,2542,0,0,0,57172,0,0,701,0,455,0,2373,0,0,0,0,101063,0,0,0,0,0,0,0,195,12191,74918,0,0,0,74918,103675,0,0,173492.7814,999971.1115,74918
Montana,25,70513,11337858.19,58309614.79,189511909.1,65321126.12,36037189.61,0,3209164.697,12341722.31,376068584.8,283986790,92081794.8,0,0,0,84740.5196,23651.86896,0,2468344.462,1009.12428,0,-2358942.949,0,2358942.949,39.0352,486045878.8,5, BiCRS 2050 gasification H2 ,17,70513,45.73343493,-107.682206,28458,0,0,0,0,81,882,0,0,0,0,0,0,1572418.242,1826,0,0,0,0,0,0,224,0,0,0,0,0,0,0,615,4951,66410.44349,11405,0,0,77815.44349,23979,0,0,25843.38824,76209.0323,77815.44349
Colorado,90,181784,108595346.9,38054238.84,189511909.1,65321126.12,37323697.21,0,18030996.87,12879283.48,469716598.6,260683977.9,209032620.6,0,0,0,99108.31751,20459.30042,0,2575856.695,0,0,-2456289.077,0,2456289.077,85.101,474394472.8,5, BiCRS 2050 gasification H2 ,719,181784,37.17107176,-104.2592531,0,0,209602.3767,0,0,10,0,0,0,24158,0,0,0,140549.1475,726,71,0,2828,0,0,0,51736,0,0,0,0,0,0,0,420,82,3722,74999,0,0,78721,4064,0,0,4219.080868,1296115.501,78721
Colorado,50,165680,54357507.88,41932429.44,189511909.1,65321126.12,37550689.76,0,0,15570168.8,404243831.1,270696716.6,133547114.6,0,0,0,81873.45486,22588.40422,0,2595028.133,0,0,-2490566.274,0,2490566.274,53.6212,479400842.1,5, BiCRS 2050 gasification H2 ,119,165680,38.44088924,-104.4064239,24497,0,319478.5939,0,0,414,0,0,0,4378,0,0,0,240431.9427,1679,290,0,23868,0,0,0,93807,0,0,0,0,0,0,0,435,6874,50490,28404,0,0,78894,72790,0,0,81660.02143,863805.5484,78894
